pathway	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S57	S58	S58.new	S59	S59.new	S6	S60	S60.new	S61	S62	S63	S64	S65	S67	S69	S7	S70	S71	S72	S75	S76	S77	S78	S79	S8	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S56
ko01053	52.8381	50.6169	84.9213	21.4488	59.5163	14.0988	55.7394	33.9981	12.2738	7.2094	24.2638	0.0	11.2319	0.0	5.2725	0.0	39.4988	16.1125	10.7162	14.5419	91.0656	27.26	7.6462	7.7212	8.0231	15.1806	15.1169	32.4106	95.6881	74.8906	10.9988	8.25	1.5844	0.0	64.01	24.4819	19.6575	17.865	21.4231	24.41	23.3019	30.2188	25.9825	16.8419	11.5844	15.2856	24.3388	61.1931	35.425	36.525	166.7175	48.0094	58.8081	139.5312	59.8431	0.0	4.755	42.2488	0.0	22.2331	109.5912	89.0019	0.0	58.2956	67.075	76.2875	6.66	118.785	49.4406	42.44	51.1181	39.2431	0.0	57.9662	109.215	30.4838	32.2181	56.3119	44.945	71.3394	80.1844	69.8031	39.6788	28.3188	58.6137	53.4131	498.8688	64.1181	70.3506
ko01055	2067.45	1870.63	3242.13	2501.64	1254.27	3271.42	1364.92	2853.47	3179.99	2343.0	1997.37	1978.59	2784.9	2591.26	3465.05	2365.52	2155.33	3077.17	2511.1	2253.29	2949.17	3216.63	2312.98	2657.5	2154.47	2865.63	1079.37	2982.96	1800.08	1927.21	1972.01	2231.47	3392.87	2494.7	2398.57	2337.7	2112.57	2039.95	2992.16	2622.28	2575.76	2166.48	2289.21	1949.79	2341.96	2402.4	2721.67	2213.73	1942.12	2591.46	2631.07	2518.27	2700.59	2675.67	2794.6	1829.37	3003.87	2818.71	1602.12	978.01	2763.99	2755.54	3024.61	1848.52	3017.35	1992.67	4925.54	1868.47	2277.41	1240.31	989.08	2670.51	1773.76	2538.86	3085.76	2539.65	2416.3	1837.67	2019.09	2989.59	2398.35	3192.29	1934.19	2508.65	4359.09	869.5	1604.36	2835.87	2602.1
ko01057	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko02010	833.3619	877.637	746.0729	886.2719	339.2959	1313.2325	338.3401	1145.0252	1363.6559	909.5971	871.9637	705.4803	966.9621	972.4994	1345.4304	875.0163	522.0551	1127.3985	1004.3541	1126.1841	858.4371	853.1458	1165.7174	1058.0768	830.115	1129.7732	440.6222	986.8318	681.7495	811.3852	882.7374	874.1102	1087.3344	1078.4677	1026.9593	944.8388	791.8202	786.2354	1095.3352	1002.4982	907.395	741.9691	826.0617	996.7979	1003.6807	860.2708	1133.6062	325.9684	599.3388	817.2337	885.8247	656.4388	718.7494	479.4871	595.2354	557.628	1048.6087	503.0633	382.0686	532.7606	670.6404	643.9809	737.9397	393.4176	618.7914	310.1209	1560.1019	476.8326	800.5323	384.7627	453.7111	809.9344	518.5798	551.7612	539.7315	580.9955	677.5975	419.6757	604.936	787.789	473.3406	660.2472	562.2467	846.1931	911.2892	439.5058	1500.692	700.6918	724.9086
ko02020	392.0616	357.4283	377.4422	473.5307	209.4264	477.3585	188.3492	418.1646	472.5996	374.4178	341.69	329.3473	415.4731	350.6042	448.1365	396.9704	217.254	413.4341	498.362	385.7877	453.903	454.5816	632.3237	404.8419	355.6019	433.3094	204.9432	403.4331	354.5967	343.9588	329.8804	315.1941	407.884	525.8615	461.7332	479.8041	364.7814	319.8711	396.1998	529.4662	415.5502	308.5914	353.6616	434.4754	402.6131	295.9217	417.3407	167.7138	305.907	413.6635	416.7483	350.4498	351.6337	225.8137	319.3442	238.058	463.7676	256.4374	207.325	237.2802	358.7942	350.9869	363.7275	231.8855	359.5925	170.852	609.0217	351.8789	451.0608	180.2529	201.3578	431.8332	279.819	291.291	345.2731	241.9635	368.7837	197.4128	305.6866	327.6525	284.4643	374.4351	292.9028	445.6465	426.0309	193.367	857.5125	288.698	396.3758
ko02030	838.53	722.5785	684.5785	1795.8585	415.1423	924.96	281.2685	912.3685	1094.2777	1098.7592	834.5638	987.5569	964.6146	929.3485	965.6231	1407.6577	400.0985	1009.5915	1838.1877	897.9731	509.4369	1320.4623	1440.4546	667.2277	980.5308	940.2992	389.6785	891.4162	753.1892	665.2054	904.7254	628.0838	780.2285	1929.5577	920.41	1235.1808	485.5631	664.7069	897.8631	2195.8531	1007.2446	581.1346	756.8515	1336.5362	1087.0908	573.2392	957.7208	201.7531	658.0192	1352.15	1197.5992	952.4669	975.1469	459.6923	628.0477	408.82	1329.7931	396.4092	862.7515	666.1946	724.5323	477.5546	797.8723	489.1285	937.5269	231.7769	1439.7646	1749.8008	1499.8469	422.5331	372.8654	1758.7254	265.5023	504.6646	455.7323	437.2585	1303.7238	471.92	932.4	481.2169	203.8554	414.1038	912.4246	1480.6685	591.1946	346.39	2752.56	394.0777	820.8277
ko02040	436.2262	217.8857	310.0162	1234.58	209.4914	186.8124	112.1943	187.5081	110.6795	405.2686	198.5133	560.6338	362.9433	348.3162	113.481	654.1595	55.3448	51.2824	987.6429	33.8676	138.7714	726.9533	690.0233	79.8252	292.0333	163.9943	196.6938	198.7781	454.4757	141.6348	295.999	87.7271	132.0024	1148.7352	328.1548	598.5233	93.6905	63.6667	74.3543	1453.2919	461.9986	135.3852	239.6462	725.8938	315.9048	190.6271	192.1586	115.9548	370.7948	895.1976	684.7562	522.2486	573.0157	313.4276	390.4205	165.1667	623.3552	202.3224	633.7876	466.7719	443.7414	213.7767	444.3738	296.3143	589.2119	104.661	57.3948	1301.3362	1021.0738	253.7205	221.4738	1294.4414	89.0214	293.5938	233.1	89.5043	873.6657	258.7514	598.6719	249.0376	60.0152	235.931	588.6048	922.2252	259.7314	197.539	1436.8205	175.1157	530.7662
ko02060	701.5639	986.1311	404.9379	342.5995	126.7176	421.3595	187.2868	724.7282	760.6755	708.7945	659.0787	643.0129	893.0897	698.6932	554.8429	1123.4126	421.4632	943.7595	579.6189	793.4226	920.4358	949.9955	1051.9692	649.7208	1200.9987	1383.1487	491.3811	803.3816	910.5139	542.8574	439.1739	626.0503	1080.7863	820.7597	974.1361	932.2874	1043.2895	592.9329	648.5463	561.3805	1321.3811	556.9697	622.5611	929.4758	814.5305	849.1924	633.3003	244.3871	532.2979	354.8258	671.0147	337.2763	263.0284	123.9579	171.8405	256.7803	1149.8339	263.1984	209.6495	352.7242	198.4932	284.2792	238.6797	91.7158	192.4395	70.36	598.7232	263.2092	508.5137	119.9005	116.8289	221.5889	141.6484	266.1674	107.7853	526.7934	208.7653	202.4737	164.7955	534.9747	95.1445	140.6163	156.2747	263.3679	878.1482	106.5103	353.835	329.8292	155.0647
ko03008	60.7795	59.8488	60.5927	67.6824	32.05	77.0512	31.7105	64.2398	58.9427	55.9661	53.6234	54.5029	65.9961	71.5361	82.9559	58.1937	38.4737	61.9751	66.4905	55.5276	68.2854	74.792	79.258	66.5722	53.8712	65.4441	37.8361	63.0224	56.8273	46.1554	51.9785	58.0034	80.5063	71.0437	65.5424	55.6459	54.542	53.6532	57.9712	64.1656	60.7878	46.3307	54.1856	62.8932	59.1332	51.2856	58.2663	34.0768	47.0759	54.7295	64.9888	52.95	65.9605	61.7032	58.8154	46.8361	66.2088	45.7439	39.8329	33.9898	68.7012	61.7046	65.1283	39.7034	60.2695	37.0651	68.0141	51.1529	64.3805	38.7183	43.4178	65.7437	47.0278	56.1929	60.3159	60.8837	59.9939	40.8361	53.3341	61.8056	49.2939	64.8029	50.21	64.309	66.2963	42.3141	65.3666	68.5568	62.509
ko03010	1487.2512	1765.6454	1617.4425	2014.1565	921.5061	2079.5767	936.3051	1818.2864	1770.9558	1668.3146	1508.6826	1533.996	1940.3522	1676.3054	2077.2961	1734.2699	1144.9678	1843.7374	1924.8131	1639.3035	2052.6029	2071.1543	2076.029	1981.0769	1604.6982	1934.8875	1086.2288	1882.2601	1413.4957	1299.4418	1427.5868	1513.4563	2072.8128	2045.1017	1687.6783	1632.6675	1590.4397	1372.0061	1700.3639	1872.4621	1808.0606	1315.7396	1571.5476	1807.4979	1739.0094	1493.1544	1740.8919	993.6908	1368.6669	1657.6549	1896.7185	1533.6607	1952.1014	1881.7561	1779.4858	1172.2812	1967.4271	1353.6318	1205.2789	1020.0876	2018.8306	1835.5831	1960.3135	1188.886	1812.8618	1120.2003	1931.3674	1361.7447	1921.4065	1124.61	1305.1268	1973.1501	1241.4971	1682.7186	1754.7775	1350.9889	1758.0738	1215.3306	1577.8832	1678.4562	1381.8578	1911.1744	1468.7093	1928.4494	1956.6742	1271.8501	1897.2039	1774.4782	1872.9228
ko03013	50.628	72.6111	64.3658	65.2632	13.7283	84.9815	11.9786	78.6523	89.8115	69.9239	67.6836	52.2733	77.9314	62.0888	89.0594	68.1724	35.0614	99.4389	79.1221	78.91	88.1077	77.0064	79.5355	81.9448	60.5288	80.9533	33.0515	78.3132	48.5661	48.7812	61.1089	61.3591	79.9082	75.5676	67.4417	65.4668	60.2338	58.2511	74.4285	66.8312	66.102	56.1776	68.2432	67.1629	73.0994	49.1924	84.2718	16.4159	47.1035	60.0411	64.0308	63.2214	69.8621	49.0589	69.5533	26.415	76.1392	45.5423	31.4459	38.1827	75.8974	73.6914	78.0944	27.9133	66.6174	37.9711	93.7055	32.5033	68.6733	30.9029	32.9232	62.9776	40.9606	59.3973	62.5606	36.4326	63.1542	42.2329	51.0106	51.5558	51.3402	70.2733	48.46	71.4203	61.967	32.4673	75.2711	55.0267	65.3005
ko03015	0.0	0.1481	0.2963	0.0185	0.0	0.0	0.0	0.0	0.0	0.0	0.2963	0.7407	0.0	0.0	0.0	0.0	0.0	0.0	0.6111	0.0	0.0	0.0	0.0741	0.0	0.0	0.0	0.0741	0.0	1.5926	0.2222	0.0741	0.0	0.0	0.2963	0.1481	0.0	0.0	0.0	0.0	0.3704	0.1111	0.0	0.1481	0.5185	0.1481	0.1481	0.0	0.1296	0.2222	0.0	0.2222	0.2778	0.0	0.2407	0.0	0.0	0.1481	0.0	0.0	0.0	0.0	0.0	0.2407	0.2222	0.1481	0.0	0.0	0.1667	0.4259	0.7407	0.1111	0.0	0.0	0.037	0.0	0.0741	0.5556	0.0741	0.0	0.0	0.0	0.3889	0.0926	0.0	0.1111	0.0926	0.0	0.1481	0.0
ko03018	563.475	622.1726	702.8553	714.4674	467.3268	758.6084	468.425	664.3534	664.9913	603.8137	564.9597	555.3329	686.4284	628.8776	787.5113	616.6837	491.1468	695.8163	686.8247	602.6784	741.9313	790.2637	831.7097	704.2053	553.4329	678.7484	365.8287	732.1553	546.6624	528.1921	541.4176	537.0924	725.1834	733.4729	607.0129	585.4232	570.9332	483.3011	684.975	677.3289	603.5124	501.0479	566.5247	611.0618	607.8916	501.5571	649.9116	468.3261	519.5566	638.3224	777.8516	619.0411	736.0726	747.2137	728.5526	569.1016	692.5447	571.0895	473.0626	390.4611	895.1595	837.2071	792.4213	550.5229	780.6579	474.305	846.4689	590.5724	740.4771	439.9608	530.9774	756.1066	526.3453	704.2847	870.8313	537.0853	683.6182	482.4724	602.1416	681.105	646.6755	845.6837	567.2468	752.1366	801.5832	524.6995	821.7289	717.6771	818.2555
ko03020	898.623	1116.0967	1116.974	1568.7743	543.2513	1631.1697	519.3703	1271.5817	1407.66	1226.8127	1058.089	1014.8393	1346.7377	1208.965	1614.804	1103.754	786.882	1446.9463	1543.044	1179.7297	972.223	1456.7527	1524.5557	1442.6163	1015.6433	1326.176	462.6827	1378.8433	849.2223	828.4517	1039.989	924.1487	1298.917	1588.4813	1007.946	1001.354	807.6253	860.3167	1257.4427	1501.7523	1096.395	876.0103	1062.7027	1356.937	1231.609	816.8097	1372.415	583.0177	861.6593	1314.8973	1399.7233	1126.938	1432.457	1207.126	1312.2107	653.7453	1409.1433	971.2247	713.1983	805.104	1277.425	1271.4367	1490.181	773.9277	1326.595	780.2483	1560.916	778.55	1437.243	709.0353	715.3263	1345.7993	798.411	1188.548	1180.7397	821.5953	1291.8873	834.0973	1197.4937	923.8823	909.1837	1254.3107	1108.929	1540.9567	1175.626	688.1913	1667.4883	1185.7577	1408.5653
ko03022	0.0	0.6154	1.2308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2308	3.0769	0.0	0.0	0.0	0.0	0.0	0.0	2.4615	0.0	0.0	0.0	0.3077	0.0	0.0	0.0	0.3077	0.0	6.4615	0.9231	0.3077	0.0	0.0	1.2308	0.6154	0.0	0.0	0.0	0.0	1.5385	0.3077	0.0	0.6154	2.1538	0.6154	0.6154	0.0	0.3077	0.9231	0.0	0.9231	0.6154	0.0	0.0	0.0	0.0	0.6154	0.0	0.0	0.0	0.0	0.0	0.3077	0.0	0.6154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3077	1.5385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6154	0.0
ko03030	1103.9169	1367.3646	1365.6742	1492.2769	689.7462	1542.0235	706.36	1412.4785	1287.0204	1248.4885	1134.7112	1113.9481	1478.9573	1249.6919	1511.0004	1339.2088	858.8396	1392.0008	1470.1181	1223.8023	1564.1888	1629.0377	1645.6019	1469.8273	1244.2365	1454.9435	799.4969	1465.9638	1099.5119	955.1658	1047.0269	1118.595	1591.5219	1553.9019	1301.5115	1242.0581	1229.9054	1053.3662	1259.9815	1390.7865	1381.0615	990.9885	1199.8027	1369.9523	1303.01	1115.585	1278.3008	734.9938	1036.0377	1283.9523	1520.0815	1182.0004	1477.7127	1463.0754	1378.1004	909.7065	1488.6831	1039.7912	883.3096	787.3888	1526.6954	1400.7235	1472.435	898.9446	1432.4212	861.6512	1712.015	998.6031	1489.3108	818.995	941.7946	1478.5588	953.6938	1310.9335	1384.4177	1017.4292	1295.0423	918.3188	1158.3069	1286.23	1084.2535	1506.8012	1085.2208	1466.9277	1554.4673	913.1865	1498.4731	1345.2046	1421.8046
ko03040	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.1333	0.2333	0.0333	0.2	0.1667	0.0333	0.0	0.0	0.0	0.0	0.0167	0.0167	1.1667	0.0	0.0	0.0	0.0	0.0	0.1333	0.7	0.0	0.4667	2.5833	0.1	0.0667	0.0167	0.0333	0.95	0.0833	2.85	0.2833	0.0	0.1167	0.2167	0.0833	0.0333	0.2	0.0667	0.7	0.1	0.0833	0.0667	0.0167	0.0167	0.1667	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.6333	0.0	0.1667	0.0	0.0167	0.1333	0.0667	0.0167	0.1167	0.25	0.3667	0.3333	0.0	0.0	0.0	0.0	0.05	0.0	0.1972	0.0	0.1	0.0	0.0	0.1	0.15	0.2	0.3833	0.0	3.0667	0.0
ko03050	6.75	0.6562	3.9583	0.0	0.0312	7.5208	0.1562	1.7325	1.0833	0.5417	2.1979	1.5833	2.2846	12.9479	11.9062	0.0938	0.2292	0.3125	1.25	1.7083	0.3438	8.4862	0.2917	0.2083	0.2812	0.5625	1.3821	0.1667	5.1875	1.3229	3.6875	7.3125	19.4446	1.0104	5.0	0.6671	1.5417	11.1042	1.6875	0.8333	0.6388	0.875	1.3783	1.3542	0.9375	0.7396	0.125	0.2188	0.5729	0.0938	1.3646	0.4479	0.5625	0.0312	0.0521	0.0	0.2917	0.2917	0.0208	0.125	0.0	0.125	0.125	0.0833	0.25	0.0	3.3125	0.0	0.2083	1.3125	0.0625	0.0208	0.3854	0.5208	0.3125	13.8125	0.6875	0.125	0.125	0.0	0.0	0.0104	0.2083	0.0417	0.0	0.0833	6.0312	8.6562	0.0208
ko03060	1325.184	1480.758	1537.1245	1816.8625	847.6465	1843.4455	842.51	1679.796	1621.5315	1503.0975	1360.865	1367.6085	1675.7665	1435.366	1834.456	1500.286	1035.6325	1741.3605	1718.569	1492.3975	1751.915	1766.4915	1838.182	1739.0595	1344.56	1629.728	974.838	1784.7865	1262.792	1170.3125	1282.331	1362.898	1718.1645	1790.1475	1549.191	1473.5505	1460.483	1251.986	1535.3315	1679.992	1487.685	1223.648	1395.9515	1517.0375	1540.6075	1282.4335	1565.152	885.558	1226.9585	1536.5415	1750.674	1484.8315	1790.8145	1526.886	1656.3385	1110.6705	1687.9775	1292.7465	1038.711	939.7655	1931.4635	1836.8415	1792.2915	1115.772	1757.705	1085.7885	2145.3925	1238.4285	1730.6225	1010.803	1198.424	1796.4095	1206.0495	1571.527	1805.3645	1148.9185	1579.0525	1101.8555	1423.572	1555.4925	1409.4525	1889.439	1338.3705	1727.2525	1891.204	1174.588	1879.3625	1582.7185	1814.914
ko03070	708.2103	707.9946	806.8889	968.6011	479.2719	985.1135	463.9932	794.6703	720.7997	721.3489	653.4376	692.9738	833.4092	696.6089	856.1854	673.8327	518.703	766.0327	850.8349	683.8108	804.8103	862.9295	1109.4922	863.4468	607.7797	737.0114	457.0814	884.8241	702.7278	646.5878	643.8449	631.563	763.7362	942.3159	863.0203	860.0816	684.7316	605.8949	686.1854	832.0362	703.8335	594.1922	664.37	770.7586	735.4262	675.5765	833.4324	486.4151	638.9914	829.9173	895.0924	769.8473	999.2992	781.6089	960.7181	671.1281	802.3068	760.5943	564.4586	432.5305	926.8743	959.3719	1081.7414	610.5722	878.8446	548.5419	978.0838	769.157	939.8176	546.1262	608.7262	893.2565	689.6043	796.6773	862.6889	571.3368	888.7592	565.2935	756.0595	822.9859	754.0784	980.6146	719.1043	1011.0084	1011.4635	572.5686	848.7522	952.8665	972.4192
ko03410	882.9657	1007.5267	961.3329	1106.16	539.969	1197.6643	547.7957	1079.6048	1047.2605	929.7238	876.37	821.721	1112.2319	949.5648	1208.5033	1022.009	659.0571	1016.5243	1082.9171	982.8548	1241.8881	1165.3948	1249.4214	1157.35	954.2905	1156.9267	626.4848	1052.3357	862.391	784.1981	829.0919	870.5957	1187.0724	1197.4048	1027.5333	963.7486	1003.3319	778.2933	995.0695	1121.5252	1091.3429	768.251	921.0857	1030.6124	1003.8586	839.5671	1001.4924	592.6267	829.3071	988.8938	1205.24	870.9124	987.6781	1157.2638	971.2833	688.9414	1136.0238	791.7638	644.2295	560.5867	1079.1105	1027.6624	1095.42	685.289	997.6095	604.5486	1359.1581	728.7976	1052.0638	612.3014	716.4924	1121.219	693.51	959.0457	931.7148	734.3124	960.8167	664.069	837.6195	966.4195	772.3124	1117.0352	808.0876	1087.081	1140.9081	698.0638	1177.0976	929.0114	1047.0157
ko03420	728.0704	843.2988	821.54	1004.9338	513.9333	1055.4838	503.6504	937.9	893.0783	833.0546	739.0017	763.0321	962.5104	832.6358	1061.54	839.5138	607.4546	1004.7775	983.9963	814.2188	987.445	1020.4512	1036.78	987.0521	772.335	915.8971	490.7717	994.6367	707.3808	660.0687	707.3433	729.5917	1050.3833	1019.45	805.135	766.1138	826.4138	693.6129	882.6237	938.3304	853.6904	643.6608	772.4329	862.6812	865.3979	710.9888	849.0021	500.0983	676.9533	828.2296	1047.5392	760.1308	936.5488	957.4917	867.6479	609.0646	972.3375	688.2925	543.3388	571.7812	1057.3317	959.4971	968.9188	620.4	909.2917	561.8438	1432.1304	580.3392	950.8129	529.4483	626.9271	991.7492	625.7067	847.6092	956.9204	712.3146	865.1883	593.0275	780.2504	839.1175	726.7825	948.125	726.585	978.9629	1023.6079	618.7158	1077.1562	875.0367	978.4562
ko03430	1527.9139	1850.147	1786.8665	2157.4283	929.083	2174.0187	926.8657	1991.8626	1879.0265	1755.1652	1583.7796	1487.16	2041.4943	1700.5252	2150.9909	1860.2835	1229.3061	2046.9248	2082.7604	1739.1248	2090.0235	2133.0383	2200.1648	2088.1504	1697.2448	2020.8283	1068.7091	2091.4643	1508.2965	1344.1178	1473.3609	1542.5248	2174.54	2173.0943	1801.7457	1720.6278	1731.0552	1450.7165	1767.6765	1995.1965	1890.5991	1400.0283	1669.3117	1911.7935	1822.4604	1613.8126	1846.0961	1008.9196	1438.2413	1786.4083	2148.2139	1627.9378	2038.5774	2066.4752	1879.6535	1234.3052	2053.4313	1453.1726	1171.1117	1182.3778	2164.9474	1997.3004	2055.3648	1212.7304	1960.8087	1176.6496	2531.2609	1320.9526	2079.8478	1106.7013	1287.3791	2110.407	1306.8404	1808.0143	1953.2787	1390.9974	1817.6709	1252.0643	1642.0274	1820.8474	1494.0274	2069.4687	1535.6296	2070.6335	2227.5039	1258.9943	2143.6361	1847.9613	2024.3404
ko03440	1395.1857	1669.438	1616.246	1899.9153	802.186	1965.3013	811.8673	1722.5447	1623.2573	1573.3817	1402.072	1413.8363	1815.1853	1580.319	1938.8817	1669.8263	1052.907	1740.5477	1823.7807	1515.5613	1826.657	1953.221	1987.791	1856.6633	1577.9693	1848.808	969.409	1823.288	1334.454	1198.837	1330.8277	1388.3407	1916.349	1940.26	1629.2607	1534.539	1448.7937	1292.8537	1556.4723	1717.472	1735.216	1219.6743	1466.5923	1721.9887	1658.42	1445.1843	1649.1757	895.19	1275.297	1593.091	1878.4993	1471.8523	1854.8987	1786.1087	1763.195	1093.184	1889.2753	1314.9767	1128.8617	972.0333	1964.8087	1821.6607	1905.4723	1092.4397	1739.7567	1134.7457	2156.9247	1286.1347	1863.4813	1045.318	1178.7037	1865.6233	1186.958	1611.498	1760.5433	1262.149	1660.0343	1158.39	1487.0187	1634.1207	1364.0983	1850.1357	1402.6263	1856.8903	2031.5657	1147.8357	1752.108	1771.2623	1828.913
ko03450	4.2	6.25	30.6	32.566	1.0	5.25	0.8	9.12	3.45	8.758	0.95	14.909	12.359	5.966	7.05	0.7	0.65	3.025	11.666	1.5	0.8	2.075	4.2	0.6	0.3	0.7	0.25	2.8	37.9	7.75	2.534	1.95	0.2	37.905	3.35	3.501	0.55	1.2	0.5	72.666	1.75	1.8	2.45	10.55	5.8	4.134	2.316	6.866	15.179	49.106	54.634	4.459	11.3	3.0	2.384	0.0	16.25	2.625	2.034	9.075	11.4	0.0	7.443	7.2	11.35	1.3	1.6	9.391	16.375	1.066	8.75	60.191	0.0	14.0	2.075	2.55	9.3	2.042	11.138	6.0	0.0	2.025	7.4	16.674	8.0	5.4	235.616	2.0	25.18
ko04020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko04075	0.1273	0.0	0.0	0.0	0.0	0.0	0.0	0.9636	0.1	0.0455	0.0	0.0	0.0	0.0	0.0	0.0	0.0182	3.0818	0.0	0.0	0.0091	0.0909	0.0091	0.0727	0.0	0.0	0.0	0.1273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0818	0.0273	0.1455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko04110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko04112	1403.99	1624.3825	1703.5069	1826.5256	886.4962	2058.6619	875.1031	1819.5475	1805.8856	1649.415	1499.4994	1414.0956	1839.3306	1572.2425	2086.1331	1621.6419	1085.9681	1997.8544	1889.7419	1652.6869	1894.3325	1910.1975	1982.255	1971.7206	1491.1556	1803.2381	987.6212	1902.5163	1293.9812	1292.7944	1404.2513	1463.83	1953.5294	1893.7444	1574.9487	1571.8244	1479.3056	1324.3281	1728.3225	1725.8963	1611.0981	1266.51	1508.5525	1631.8613	1714.3888	1354.9319	1733.1844	848.1606	1261.7431	1590.19	1838.3088	1509.2469	1831.2012	1771.5906	1711.3838	1126.7163	1863.7562	1237.5994	1175.9631	963.2962	2024.3088	1824.1556	1894.82	1143.8656	1819.6031	1117.5163	2403.3262	1293.4081	1822.6538	1078.2044	1229.8475	1876.4444	1254.5881	1643.75	1798.0175	1234.595	1675.4881	1191.48	1499.315	1619.4175	1419.2575	1922.6069	1410.5756	1845.2725	1861.9156	1192.9775	1821.2156	1691.6388	1796.6625
ko04113	0.0	0.0	0.0	0.0	0.0	0.56	0.0	3.3766	0.0	0.0	0.0	0.505	0.2666	0.0	0.0	0.0	0.0	0.0	0.06	0.48	0.06	0.3934	0.0	0.0	0.0	0.27	0.8634	0.0	1.23	0.0	0.22	0.965	0.2734	0.0	1.085	6.895	0.0	0.83	0.0	0.0	0.4616	0.0	0.2066	0.18	0.0	0.0	0.0	0.0	0.0	0.53	1.445	0.0	1.12	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.085	0.0	0.0	0.22	0.0	0.0	0.32	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.2	0.0	1.41	0.0
