pathway	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S57	S58	S58.new	S59	S59.new	S6	S60	S60.new	S61	S62	S63	S64	S65	S67	S69	S7	S70	S71	S72	S75	S76	S77	S78	S79	S8	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S56
ko00908	507.38	637.975	750.2525	775.4975	322.0775	705.7175	322.3875	641.5875	595.93	584.74	514.43	536.9425	668.175	587.6325	714.56	598.0725	402.83	644.495	679.545	554.3725	691.74	806.8425	710.995	679.9525	550.855	660.32	371.715	767.6575	519.925	458.47	505.18	514.5125	705.7725	700.61	574.31	561.4175	539.2675	465.32	594.6925	637.7125	613.735	454.015	551.5825	623.36	597.665	519.045	611.335	377.005	513.0325	701.9075	885.9575	684.3225	882.885	1096.5475	854.2	437.7575	678.6175	563.2675	559.225	371.595	1121.4075	967.89	849.2925	514.9375	888.225	677.23	746.6275	549.625	819.2575	521.13	579.0	829.6125	602.9075	811.76	981.5775	462.75	724.4675	612.645	710.51	764.3025	765.6675	985.585	665.9525	801.215	925.6725	570.8725	636.2325	781.6325	934.8075
ko00910	538.6046	572.0064	766.7216	774.5028	284.6378	694.8872	260.8276	660.0186	628.1308	576.4712	536.1486	504.4828	641.0648	575.33	726.7622	577.0892	369.5666	688.8296	659.6418	609.8376	581.4076	769.2186	957.3912	644.882	547.7088	686.7486	297.7894	784.6612	551.9662	492.9362	520.948	493.0174	651.358	707.3038	659.4906	598.4416	552.7594	479.7798	603.6842	650.2494	602.194	432.4464	513.8782	633.1926	608.1122	519.2712	639.6232	306.8806	460.8738	665.2878	800.8316	645.8884	703.9074	718.7186	731.8192	465.548	675.6414	543.5334	411.6372	427.7646	918.624	889.0354	797.469	433.2542	793.164	520.2138	967.3118	497.0792	750.0896	417.204	440.1228	746.4392	629.3008	707.0758	896.5866	436.579	652.7752	491.3152	609.2492	738.1326	756.6578	927.4498	582.8996	729.6344	1011.4782	436.1954	826.7818	750.7584	837.8184
ko00920	709.9694	720.8369	1037.1675	1037.3206	608.9288	993.1912	624.3625	867.1238	897.4162	778.3519	741.5131	673.9375	896.1269	814.7075	974.0719	798.9681	653.5819	937.41	859.7262	751.3481	678.2362	1205.2781	1008.3406	889.6487	764.5756	964.4031	393.4612	1033.1144	756.3912	721.9156	684.525	634.6981	848.8056	966.6606	884.6425	891.8612	605.2881	602.8725	922.2612	893.5688	799.6438	683.115	748.1688	863.1612	782.3444	688.5844	887.5125	668.7088	672.4875	953.735	1000.5269	925.845	1069.9431	606.9425	1067.7912	856.495	946.8444	800.5744	610.525	424.5769	1209.3556	1231.0319	1100.1244	760.365	1124.7188	721.355	1049.7225	726.275	1099.3138	510.4669	523.1106	996.7475	668.3431	909.0994	1178.9094	674.3331	883.5581	610.44	772.65	786.7581	901.9838	1255.3031	747.9462	1090.2356	1165.2106	500.8256	1052.835	990.8619	1182.3744
ko00930	53.4057	17.6786	88.0114	0.8571	7.0943	20.0943	4.2886	35.7143	14.5229	3.1429	11.5971	31.1786	22.8457	5.8214	10.2143	1.5	3.0014	13.3529	6.0571	4.4543	182.7143	5.7143	13.0714	15.6914	1.3571	10.3371	19.7829	7.7357	36.5971	22.5	7.5	7.79	53.7857	31.8571	74.5714	22.5457	83.3214	10.6729	4.6014	23.2857	29.0	19.7143	22.4657	17.2371	17.0	6.8543	14.2157	5.7	39.81	5.1429	6.7443	17.4143	20.2271	14.7014	0.6657	0.0	13.2371	6.0357	0.5714	7.3214	3.2286	11.03	3.3571	0.0	15.3571	1.0486	55.3343	39.1071	6.37	4.2371	4.4057	4.5	2.2857	21.7629	5.2629	8.1657	2.6429	8.8486	1.1071	43.4286	0.0	9.1429	0.0	6.25	9.2557	2.9286	821.7143	6.4057	1.1314
ko00941	15.417	2.417	11.15	15.4	2.1	37.327	2.417	36.25	5.393	16.842	2.55	11.315	13.445	11.075	5.0	2.837	3.417	5.183	16.608	3.05	6.24	14.55	14.35	12.543	0.47	3.795	10.833	31.55	13.503	1.65	11.4	5.308	41.438	35.95	5.333	19.865	59.412	3.757	18.33	33.017	23.23	9.382	10.185	20.767	8.2	57.375	3.977	4.25	25.78	19.3	23.558	5.695	6.425	8.8	5.5	0.733	17.2	9.275	1.5	4.3	7.717	0.85	7.117	4.017	6.4	0.533	48.917	5.025	9.8	3.7	5.95	8.783	0.7	7.133	4.125	6.45	5.958	20.95	4.9	74.4	0.0	0.2	3.55	24.65	109.95	2.7	7.583	4.1	27.807
ko00943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4286	0.0	0.0	0.0	0.1429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1429	0.0	0.0	0.0	1.0	0.4286	0.0	0.0	0.0	0.0	0.0	0.0
ko00960	0.0	342.8225	0.0	486.2775	222.175	410.2283	222.1558	351.625	366.48	0.0	0.0	332.8642	0.0	0.0	0.0	0.0	0.0	0.0	417.5058	332.7917	0.0	537.8308	0.0	0.0	0.0	453.8275	154.8817	481.9433	344.335	323.5208	291.1183	0.0	385.0258	404.34	361.9075	413.3992	0.0	0.0	0.0	0.0	412.2692	0.0	0.0	0.0	353.5967	317.0925	0.0	246.4192	0.0	0.0	487.02	400.1075	463.95	493.8425	0.0	0.0	472.2275	0.0	0.0	0.0	0.0	0.0	464.6392	313.6158	546.3542	0.0	0.0	519.7442	530.1575	315.6658	300.685	0.0	0.0	465.0958	0.0	300.0783	413.405	354.0067	429.2608	0.0	0.0	653.6733	394.5292	0.0	642.46	296.0917	0.0	0.0	0.0
ko00970	1635.8575	1929.345	1678.8169	2124.2328	999.3059	2330.6628	1016.79	2025.5731	1990.3972	1844.855	1682.4822	1717.4384	2135.8794	1841.9444	2300.9972	1925.3913	1281.9713	2109.2894	2127.465	1830.0422	2242.9425	2173.8016	2345.4356	2205.9766	1780.36	2139.3816	1178.8988	2084.6691	1533.5509	1450.7409	1578.3544	1661.9903	2286.7872	2252.8438	1877.4019	1843.1944	1743.5722	1499.4994	1891.7622	2055.9288	1956.78	1457.1047	1729.4925	1977.2281	1938.8584	1655.7241	1917.9581	1063.3556	1458.8862	1739.2691	2022.7569	1594.6994	2012.1684	1838.6175	1755.0134	1255.2994	2178.6988	1389.0809	1201.9356	1110.5391	1987.4481	1805.525	1990.07	1222.8419	1825.575	1070.9972	2431.9959	1349.5966	2014.5047	1154.4347	1349.5147	2025.0966	1267.3994	1690.6803	1701.1128	1466.7728	1820.7297	1241.0356	1621.0591	1782.8191	1349.685	1884.8769	1500.2253	2043.7459	2099.7369	1312.7659	2125.5697	1805.5953	1895.7278
ko00980	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.5745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko00983	0.0	0.0	0.0	0.0	555.2473	0.0	550.56	1523.5191	0.0	0.0	0.0	1112.5736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1185.2691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1161.5691	0.0	0.0	1521.5873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1881.8582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1900.3236	0.0	0.0	0.0	1700.9	0.0	0.0	942.7191	0.0	0.0	0.0	1671.0336	0.0	1598.1545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1862.3927	1304.2491	0.0	0.0	0.0	1651.2709	0.0	1942.4409
ko01040	424.6153	485.558	474.8573	505.0107	242.8267	654.2853	247.0807	552.4353	643.1047	473.7167	447.684	368.9573	529.2627	467.2693	666.5813	467.4887	338.3387	619.2887	514.4167	520.1213	544.2753	498.396	544.5753	568.6133	412.2327	572.184	206.2947	517.142	347.3067	405.9433	435.5007	410.788	549.9927	545.5593	494.088	446.1053	398.2887	346.5473	575.9427	559.1173	460.9493	384.884	418.6807	467.4793	494.0013	298.956	565.4727	258.126	336.924	406.018	425.9847	387.6933	471.524	268.9167	399.7127	314.8073	534.544	339.8873	234.6267	232.47	399.62	407.2867	470.3333	286.4793	426.8267	242.8947	659.416	376.8993	486.218	214.606	235.3227	435.7587	266.8253	341.4507	343.3287	360.4553	424.428	229.3727	354.6453	345.2973	305.6973	394.5953	344.3907	467.3667	360.8373	224.566	1119.8347	375.406	411.14
ko01051	5276.58	6206.55	5107.88	7050.98	2124.11	8494.08	1947.27	6188.62	5867.24	6131.0	5414.87	5537.92	6848.7	6225.18	8896.78	7259.94	3515.56	6273.03	8363.56	6478.46	4479.64	7250.4	8536.76	8016.24	7870.72	8628.15	2592.81	7370.97	4832.75	4301.01	4956.44	4553.29	6085.01	7544.31	5742.74	6327.18	3514.12	4678.71	5711.37	6396.77	8264.17	4346.15	6083.61	7127.87	7146.96	4950.79	5839.75	2403.93	4061.74	5609.4	6731.08	5204.02	5544.43	4062.16	5091.66	2458.61	9342.94	3472.42	2436.88	3065.98	5579.03	6514.66	5892.49	3262.22	5622.95	3070.84	10167.63	3154.22	6704.16	3129.46	3664.55	6627.59	3302.22	4757.88	5236.97	3885.02	5630.83	3134.92	4412.29	5142.56	4092.22	6142.7	4614.02	7499.95	5745.62	3653.13	4932.52	4834.71	6836.14
